StrainA/StrainB,cross_id,run_id,di
CA09/Chile83,NA,NA,highDI
CA09/HK68,2,A,highDI
CA09/PAN99,11,A,highDI
CA09/SI86,18,A,highDI
CA09/TX12,14,A,highDI
Chile83/HK68,9,A,highDI
Chile83/PAN99,16,A,highDI
Chile83/SI86,12,A,highDI
Chile83/TX12,20,A,highDI
HK68/PAN99,3,A,highDI
HK68/SI86,8,A,highDI
HK68/TX12,1,A,highDI
PAN99/SI86,15,A,highDI
PAN99/TX12,7,A,highDI
SI86/TX12,19,A,highDI
CA09/Chile83,2,C,lowDI
CA09/HK68,3,C,lowDI
CA09/PAN99,8,B,lowDI
CA09/SI86,21,B,lowDI
CA09/TX12,13,C,lowDI
Chile83/HK68,4,B,lowDI
Chile83/PAN99,3,B,lowDI
Chile83/SI86,22,C,lowDI
Chile83/TX12,6,C,lowDI
HK68/PAN99,2,B,lowDI
HK68/SI86,24,B,lowDI
HK68/TX12,NA,NA,lowDI
PAN99/SI86,25,B,lowDI
PAN99/TX12,NA,NA,lowDI
SI86/TX12,16,C,lowDI
