cross_id,strainA,strainB,moi,timepoint,incubation_temp,trypsin,infection_plate,Comment
7,CA09,CA09,0,0,0,0,0,High_DI
8,Chile83PR8,Chile83PR8,0,0,0,0,0,High_DI
9,HK68,HK68,0,0,0,0,0,High_DI
10,PAN99,PAN99,0,0,0,0,0,High_DI
11,SI86,SI86,0,0,0,0,0,High_DI
12,TX12,TX12,0,0,0,0,0,High_DI
19,CA09,CA09,0,0,0,0,0,High_DI
20,Chile83PR8,Chile83PR8,0,0,0,0,0,High_DI
21,HK68,HK68,0,0,0,0,0,High_DI
22,PAN99,PAN99,0,0,0,0,0,High_DI
23,SI86,SI86,0,0,0,0,0,High_DI
24,TX12,TX12,0,0,0,0,0,High_DI
43,CA09,CA09,0,0,0,0,0,Low_DI
44,Chile83PR8,Chile83PR8,0,0,0,0,0,Low_DI
45,HK68,HK68,0,0,0,0,0,Low_DI
46,PAN99,PAN99,0,0,0,0,0,Low_DI
47,SI86,SI86,0,0,0,0,0,Low_DI
48,TX12,TX12,0,0,0,0,0,Low_DI
55,CA09,CA09,0,0,0,0,0,Low_DI
56,Chile83PR8,Chile83PR8,0,0,0,0,0,Low_DI
57,HK68,HK68,0,0,0,0,0,Low_DI
58,PAN99,PAN99,0,0,0,0,0,Low_DI
59,SI86,SI86,0,0,0,0,0,Low_DI
60,TX12,TX12,0,0,0,0,0,Low_DI
